RC108

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   1      34         2          40        109          139        10   
   2      28         34         40        100          130        10   
   3      14         39         40        108          138        10   
   4      9          10         30        141          171        10   
   5      32         12         40        84           114        10   
   6      50         51         30        32           62         10   
   7      12         40         20        52           82         10   
   8      80         2          30        106          136        10   
   9      27         32         30        69           99         10   
   10     66         25         30        56           86         10   
   11     62         47         20        121          151        10   
