cuisine,city,device,user_segment,promo,fav_ingredient,spice_level,day_of_week,price_bucket
japanese,city_19,web,student,promo_8,sesame,medium,Tue,mid
chinese,city_1,ios,budget,promo_5,soy,extra_hot,Wed,very_high
mediterranean,city_14,desktop_app,family,promo_8,yogurt,none,Mon,mid
italian,city_15,tablet,new,promo_4,lemon,none,Sat,mid
vietnamese,city_10,ios,new,promo_8,basil,mild,Tue,mid
vietnamese,city_9,android,vip,promo_1,fish_sauce,medium,Wed,low
thai,city_10,ios,vip,promo_7,garlic,medium,Fri,mid
american,city_15,android,family,promo_5,onion,medium,Sat,mid
italian,city_6,android,vip,promo_4,basil,none,Thu,mid
mediterranean,city_15,web,family,promo_3,oregano,mild,Wed,mid
thai,city_1,android,student,promo_4,cilantro,hot,Mon,mid
chinese,city_10,ios,returning,promo_2,garlic,medium,Thu,very_high
american,city_15,android,student,none,cheese,hot,Mon,mid
indian,city_13,android,student,promo_7,onion,medium,Sun,mid
vietnamese,city_2,web,student,promo_2,cilantro,medium,Mon,low
vietnamese,city_4,ios,student,promo_8,fish_sauce,medium,Tue,low
japanese,city_10,android,new,promo_6,ginger,none,Sun,mid
mexican,city_9,ios,vip,promo_5,onion,hot,Tue,mid
korean,city_4,ios,budget,promo_5,sesame,hot,Tue,high
indian,city_7,desktop_app,vip,promo_6,turmeric,hot,Sun,mid
italian,city_6,desktop_app,student,promo_5,oregano,medium,Thu,high
vietnamese,city_20,ios,vip,promo_4,cilantro,mild,Thu,low
indian,city_20,android,student,promo_7,turmeric,medium,Thu,very_high
japanese,city_1,web,student,none,soy,medium,Fri,very_high
korean,city_17,ios,vip,none,garlic,extra_hot,Sun,high
american,city_16,web,new,promo_7,lemon,extra_hot,Tue,mid
vietnamese,city_1,ios,family,promo_3,cilantro,medium,Tue,mid
mexican,city_14,web,family,promo_8,chili,medium,Fri,mid
italian,city_10,ios,new,promo_2,oregano,none,Fri,very_high
thai,city_16,ios,student,promo_7,cilantro,hot,Fri,mid
italian,city_17,android,vip,none,oregano,none,Fri,mid
vietnamese,city_9,ios,student,none,basil,medium,Wed,mid
thai,city_19,android,new,promo_3,fish_sauce,hot,Sat,low
chinese,city_8,ios,new,promo_8,soy,hot,Thu,mid
chinese,city_13,web,student,promo_3,ginger,medium,Sat,mid
american,city_11,android,family,promo_2,onion,none,Thu,mid
japanese,city_4,web,returning,promo_5,ginger,extra_hot,Sat,mid
thai,city_12,ios,vip,promo_7,fish_sauce,mild,Sat,mid
mediterranean,city_10,desktop_app,student,promo_6,cheese,mild,Tue,mid
korean,city_8,ios,new,promo_8,miso,medium,Tue,high
vietnamese,city_17,android,returning,promo_2,basil,hot,Tue,mid
mexican,city_15,web,family,promo_3,tomato,medium,Thu,mid
thai,city_7,ios,student,promo_4,basil,medium,Tue,low
