cuisine,city,device,user_segment,promo,fav_ingredient,spice_level,day_of_week,price_bucket
american,city_16,web,new,promo_1,onion,hot,Wed,high
thai,city_10,ios,family,promo_7,cilantro,mild,Wed,mid
american,city_18,ios,student,promo_1,cheese,hot,Fri,mid
japanese,city_10,web,family,promo_3,ginger,mild,Tue,high
vietnamese,city_10,web,family,none,fish_sauce,mild,Wed,low
italian,city_19,ios,budget,none,lemon,mild,Thu,high
chinese,city_15,android,budget,promo_7,soy,none,Tue,mid
mexican,city_13,ios,new,promo_8,lemon,mild,Tue,low
mediterranean,city_7,desktop_app,family,promo_3,tomato,none,Thu,high
american,city_18,android,returning,promo_4,cheese,hot,Wed,low
american,city_19,android,student,promo_4,tomato,extra_hot,Tue,mid
thai,city_10,web,family,promo_6,lemon,mild,Thu,low
american,city_13,android,returning,none,lemon,hot,Tue,mid
chinese,city_10,web,vip,promo_5,garlic,extra_hot,Mon,very_high
mediterranean,city_3,ios,vip,promo_5,oregano,mild,Wed,mid
american,city_19,web,new,promo_7,lemon,medium,Mon,low
mexican,city_1,ios,family,promo_8,tomato,hot,Thu,low
japanese,city_9,ios,student,promo_2,miso,extra_hot,Sun,high
mediterranean,city_17,tablet,budget,promo_6,tomato,medium,Fri,mid
mexican,city_8,desktop_app,budget,promo_3,cilantro,medium,Thu,low
chinese,city_13,web,returning,promo_6,soy,extra_hot,Mon,mid
chinese,city_7,ios,returning,promo_5,miso,none,Tue,mid
american,city_15,android,vip,promo_2,garlic,hot,Mon,mid
chinese,city_13,web,vip,promo_3,sesame,extra_hot,Sat,mid
japanese,city_6,ios,student,promo_1,garlic,extra_hot,Thu,very_high
chinese,city_20,android,student,promo_7,miso,hot,Sun,high
japanese,city_2,ios,vip,promo_5,ginger,mild,Fri,mid
vietnamese,city_16,android,family,none,cilantro,hot,Wed,mid
italian,city_9,desktop_app,budget,promo_2,cheese,none,Thu,mid
korean,city_10,ios,student,promo_4,miso,mild,Sat,very_high
chinese,city_3,ios,budget,promo_1,ginger,extra_hot,Sat,mid
mexican,city_12,android,student,promo_2,lemon,medium,Wed,mid
chinese,city_9,web,budget,promo_5,miso,medium,Wed,high
thai,city_5,web,returning,none,fish_sauce,medium,Sun,mid
american,city_4,android,family,none,tomato,hot,Sat,mid
american,city_1,ios,family,none,onion,medium,Wed,mid
mediterranean,city_3,web,vip,promo_4,lemon,mild,Thu,high
japanese,city_4,ios,budget,promo_7,garlic,medium,Fri,very_high
american,city_13,ios,returning,promo_2,onion,extra_hot,Mon,low
mexican,city_18,tablet,budget,promo_2,cilantro,medium,Wed,mid
mediterranean,city_17,android,new,promo_3,tomato,none,Sun,mid
mexican,city_5,tablet,budget,promo_3,onion,hot,Sun,low
vietnamese,city_12,web,returning,promo_3,lemon,mild,Sun,mid
